,hurst_average
02CB_01_movie_01_LPI_000.netts,0.5321306511627908
02CB_01_movie_02_LPI_000.netts,0.8700107906976744
02CB_01_movie_03_LPI_000.netts,0.6198189255212355
02CB_01_movie_04_LPI_000.netts,
02CB_01_rest_01_LPI_000.netts,0.7574029069767442
02CB_01_rest_02_LPI_000.netts,0.7047818217054264
02CB_01_rest_03_LPI_000.netts,0.6933563178294573
02CB_01_rest_04_LPI_000.netts,0.6021268235294116
04HD_01_movie_01_LPI_000.netts,0.591689947761194
04HD_01_movie_02_LPI_000.netts,
04HD_01_movie_03_LPI_000.netts,
04HD_01_movie_04_LPI_000.netts,0.4407184606741573
04HD_01_rest_01_LPI_000.netts,0.6626131119402985
04HD_01_rest_04_LPI_000.netts,0.4732000835205992
04SG_01_movie_01_LPI_000.netts,0.6006128874509804
04SG_01_movie_02_LPI_000.netts,0.8521247490196078
04SG_01_movie_03_LPI_000.netts,0.8174205372549018
04SG_01_movie_04_LPI_000.netts,0.6146926392156863
04SG_01_rest_01_LPI_000.netts,0.7172594862745097
04SG_01_rest_02_LPI_000.netts,0.6133433290196079
04SG_01_rest_03_LPI_000.netts,0.7481036078431372
04SG_01_rest_04_LPI_000.netts,0.6786027843137256
08BC_01_movie_01_LPI_000.netts,0.5303024923954374
08BC_01_movie_02_LPI_000.netts,0.872434808988764
08BC_01_movie_04_LPI_000.netts,
08BC_01_rest_01_LPI_000.netts,0.6433704326996197
08BC_01_rest_02_LPI_000.netts,0.6011893466165412
08BC_01_rest_04_LPI_000.netts,0.8284724427480915
08VR_01_movie_01_LPI_000.netts,0.6020225714285714
08VR_01_movie_02_LPI_000.netts,0.7230734680933852
08VR_01_movie_03_LPI_000.netts,0.4974598100775193
08VR_01_movie_04_LPI_000.netts,
08VR_01_rest_01_LPI_000.netts,0.6831853639846742
08VR_01_rest_02_LPI_000.netts,0.7097499233716476
08VR_01_rest_03_LPI_000.netts,0.7332533333333333
08VR_01_rest_04_LPI_000.netts,0.5843101818181817
10JR_01_movie_01_LPI_000.netts,
10JR_01_movie_02_LPI_000.netts,
10JR_01_movie_04_LPI_000.netts,0.6055942520912548
10JR_01_rest_01_LPI_000.netts,0.7936294552529182
10JR_01_rest_02_LPI_000.netts,0.3757427367816092
10JR_01_rest_03_LPI_000.netts,0.5387387673003802
10JR_01_rest_04_LPI_000.netts,0.6238896737642585
13CA_01_movie_02_LPI_000.netts,0.818224535907336
